PROGRAMI,Kosto e plotë,Financime deri ne 2015,Plani 2016
SHERBIMET PUBLIKE VENDORE,4381026915,796883291,1192223238
MENAXHIMI I RRUGEVE DHE TRANSPORTIT PUBLIK,5050488980,651707261,2032515350
ARSIMI PARAUNIVERSITAR DHE EDUKIMI,3069674728,501341823,961316365
KUJDESI SOCIAL,86595632,20209651,42654293
STREHIMI DHE PLANIFIKIMI I TERRITORIT,4187405865,420169777,569114951
KULTURA DHE TURIZMI,42500000,0,23500000
ZHVILLIMI I RINISË DHE SPORTIT,32500000,2000000,30500000
"PLANIFIKIM, MENAXHIM, ADMINISTRIM",238252021,18534286,150890207
RENDI DHE MBROJTJA CIVILE,6240000,0,6240000
ZHVILLIMI EKONOMIK DHE PUNESIMI,7500000,0,7500000
T O T A L I,17102184141,2410846089,5016454404
