Programi,Gjithsej,Pagat,Sig.Shoq.,Shp. Op. Mirembajtje,Transferime,Interesa,Tram tek individet,Fondi rezerve,Investime,Principali
Arsimi Para- Universitar & Edukimi,2164676,369383,59260,679399,0,0,65317,0,961316,30000
Kultura dhe Turizmi,169940,26016,4140,116200,0,0,84,0,23500,0
Zhvillimi i Rinisë dhe Sportit,147800,14900,2400,70000,30000,0,0,0,30500,0
"Planifikim,Menaxhim & Administrim",2206705,1128182,177200,700650,13584,0,36418,0,148171,2500
Menaxh.i Rrugëve & Transp. Publik,2772333,284809,44200,430718,0,10000,91,0,1954515,48000
Shërbime Publike Vendore,3969631,620450,97650,2059157,0,0,150,0,1192223,0
Kujdesi Social,228904,47185,7550,47650,4560,0,17305,0,42654,0
Strehimi & Planifikimi i Territorit,569115,0,0,0,0,0,0,0,569115,0
Rendi & Mbrojtja Civile,288640,222400,35000,25000,0,0,0,0,6240,0
Zhvillimi Ekonomik & Punësimi,57500,0,0,21000,0,0,29000,0,7500,0
Ujesjelles Kanalizime,20000,0,0,20000,0,0,0,0,0,0
Mbrojtja e Mjedisit,5000,0,0,5000,0,0,0,0,0,0
Fondi rezervë,100000,0,0,0,0,0,0,100000,0,0
Fondi kontigjences,30000,0,0,0,0,0,0,30000,0,0
Fondi Emergjences,15219,0,0,0,0,0,15000,0,219,0
T o t a l i,12745463,2713325,427400,4174774,48144,10000,225365,130000,4935954,80500
