Programi/ Njesite Shpenzuese,"Nr.
Pun.",Art.600,Art.601,Art.602,Art.604,"Totali
shpenzimeve"
Menaxh. i Rrugëve & Trans. Publik 00.04520.1,,0,0,0,"18,864","18,864"
Aparati i Bashkise,,0,0,0,"18,864","18,864"
Rruget Rurale,,0,0,0,"18,864","18,864"
Arsimi Parauniversitar&Edukimi  00.09120.1,,"621,621","103,257","14,801",0,"739,679"
Qendra  Ekonomike Zhvillimit & dhe Edukimit të Fëmijëve,,"499,550","83,425",0,0,"582,975"
Arsimi parashkollor (personeli edukativ & ndihmës për kopshtet ),"1,003","499,550","83,425",0,,"582,975"
Drejtoria Nr.3 e Punëtorëve të Qytetit 00.9230.1,,"60,071","10,032",0,0,"70,103"
Arsimi Parauniversitar Shkollat e Mesme (personeli ndihmes),151,"60,071","10,032",0,0,"70,103"
Drejtoria e Konvikteve te Shkollave te Mesme 00.9230.1,113,"62,000","9,800","14,801",,"86,601"
Mbrojtja nga zjarri dhe shpetimi  00.10910.1,116,"70,031","11,731","8,257",0,"90,019"
Ap.Bash (Zjarrëfikësit),,"70,031","11,731","8,257",,"90,019"
Infrastruktura e Ujitjes dhe Kullimit   00.04240.1,3,"1,584",264,"3,994",0,"5,843"
Ap.Bashkise (Ujitja dhe kullimi),,"1,584",264,"3,994",,"5,843"
Administrimi i pyjeve 00.04260.1,6,"2,794",467,419,0,"3,679"
Ap.Bashkise (Administrimi i pyjeve),,"2,794",467,419,0,"3,679"
Shuma,,"696,030","115,719","27,471","18,864","858,084"
