Programi & Njesite shpenzuese,Shpenzime personeli,Shpenzime operative,Shpenzime per Investime,Totali buxhetit
Sherbime publike vendore 00.0626.5,718100,2059307,1192223,3969631
Aparati I Bashkise,0,1728200,958929,2687129
Inspektoriati I Mbrojtjes se territorit,119,7000,0,126000
Drejtoria e Pergj. Nr1 e puneroreve te qyetit,269150,168607,133298,571055
Agjensia per Mbrojtjen e Konsumatorit,151700,54500,4797,210997
Agjensia e parqeve dhe Rekreacionit,187250,101000,95200,374450
Menaxh. i Rrugeve &  Trans. Publik,328009,440809,2032515,2802333
Aparati I Bashkise,0,0,1704950,1704950
Drejtoria e Pergj. Nr2 e puneroreve te qyetit ,224509,373309,113943,711761
Tirana Parking,104500,57500,213622,375622
Arsimi parauniversitar & Edukimi,428675,744684,961316,2134676
Aparati I Bashkise,0,165000,900868,1065868
Q. Ek. Zhv. Dhe edukimit te femijeve 09120,308445,371255,5270,684970
Drejt. e Pergj. Nr3 e punetoreve te qyetit09230,120230,165230,32800,318260
Drejtoria e Konvikteve 00.09230,0,33199,21148,54347
Shkolla Luigj Gurakuqi,0,10000,1230,11230
Kujdesi social & Solidariteti 00.10140.5,54735,131515,42654,228904
Aparati I Bashkise,0,110060,37182,147242
Qendra Sociale Multididiplinare,13025,5205,807,19037
Qendra Komunitare 'Te qendrojme sebashku',15260,6000,1146,22406
Qendra sociale 'Shtepia e Perbashket',11270,5500,1400,18170
Qendra Komunitare 'Shkoze',15180,4750,2120,22050
Strehimi & Plani I territorit 00.06180.5,0,0,569115,569115
Aparati i Bashkise,0,0,569115,569115
Zhv. i Ekonomise & Punesimi 00.04970.5,0,50,7500,57500
Aparati i Bashkise,0,50000,7500,57500
Kultura & Turizmi 00.08250.5,30156,116284,23000,169940
Aparati I Bashkise,0,90000,10000,100000
Qendra kulturore 'Tirana',30156,26284,13500,69940
Zhvillimi I Rinise & Sportit 00.01110.5,17300,100000,30500,147800
Aparati I Bashkise,0,40000,15000,55000
Klubi Sportiv  Tirana,17300,60000,15500,92800
"Planif.,Menaxh. &Administrimi 00.01110.5",1305382,895652,150890,2351924
Aparati I Bashkise,1108050,826084,139671,2073805
Drejt. E Prgj. Taks. Tarifa Vendore,197332,69568,11000,277900
Rendi & Mbrojtja Civile 00.03140.5,257400,25000,6240,288640
Policia Bashkiake,257400,25000,6240,288640
Ujsjelles Kanalizime 00.06370.5,0,20000,0,20000
Ap.Bash.(NjesiteAdministrative Komunat,0,20000,0,20000
Mbrojtja e Mjedisit,0,5000,0,5000
Aparati I Bashkise(Projekte per Mjedisin),0,5000,0,5000
Shuma,3140757,4588252,5016454,12745463
